
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000231                       # Number of seconds simulated (Second)
system.cpu.intInstQueueReads                   427364                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                  124309                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses          105863                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                   1120018                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                   148988                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses           148755                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                      107239                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                       602185                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                           609                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                           4076                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                         6718                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                     259496                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                       35                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                        76970                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                        2758                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                         1                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                            31                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                         6603                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                 14                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect                 49                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect             648                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                      697                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                            624492                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                        445670                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                       948                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                             447942                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                          10692                       # Number of branches executed (Count)
system.cpu.numStoreInsts                         2272                       # Number of stores executed (Count)
system.cpu.numRate                           2.699829                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                       255005                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                      254618                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                        226088                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                        344233                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.100775                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.656788                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             317                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           19536                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                      123099                       # Number of Instructions Simulated (Count)
