
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056452                       # Number of seconds simulated (Second)
system.cpu.committedInsts                    48413712                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      86500844                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.166030                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.166030                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.857611                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.857611                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  147715483                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  65809180                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                    10154354                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                    8327654                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                    19819395                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   20166089                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  48457987                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                  1835170                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads       22845123                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      11538583                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      9786506                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores      2209356                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
